"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/Assets/Hallway/source/Wallpaper.Wallpaper","0","0","27","1","0.000000","0","0"
"/Engine/MapTemplates/Sky/M_BlackBackground.M_BlackBackground","0","0","4","1","0.000000","0","0"
"/Game/MyMaterials/M_Black.M_Black","0","0","23","1","0.000000","0","0"
"/Game/Assets/stairs/source/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Game/Shelf/source/Material.Material","0","0","14","1","0.000000","0","0"
"/Game/Assets/Hallway/source/TrimSheet.TrimSheet","0","0","14","1","0.000000","0","0"
"/Game/Assets/Window/source/lambert1.lambert1","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/page2.page2","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/cover4.cover4","0","0","14","1","0.000000","0","0"
"/Game/Assets/Carpets/source/SM_Carpet0304.SM_Carpet0304","0","0","14","1","0.000000","0","0"
"/Game/Assets/Carpets/source/SM_Carpet0102.SM_Carpet0102","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/cover5.cover5","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/cover2.cover2","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/page2_001.page2_001","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/cover.cover","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/cover2_001.cover2_001","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/pagetwo.pagetwo","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/peage4.peage4","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/pageone.pageone","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/cover3.cover3","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/back.back","0","0","14","1","0.000000","0","0"
"/Game/Assets/books2/source/page5.page5","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/pageee.pageee","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/page3.page3","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/page1.page1","0","0","23","1","0.000000","0","0"
"/Game/Assets/books2/source/cover1.cover1","0","0","14","1","0.000000","0","0"
"/Game/Assets/Telescope/telescope1.telescope1","0","0","14","1","0.000000","0","0"
"/Game/Assets/Stone_wall/source/wall_low.wall_low","0","0","14","1","0.000000","0","0"
"/Game/Assets/Clock/source/standardSurface1.standardSurface1","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book10.Book10","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book6.Book6","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book7.Book7","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book12.Book12","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book2.Book2","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book5.Book5","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book3.Book3","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book8.Book8","0","0","14","1","0.000000","0","0"
"/Game/Assets/coffin/source/coffin2.coffin2","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book11.Book11","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book9.Book9","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/UI/ArrowMaterial.ArrowMaterial","0","0","22","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","0","35","1","0.000000","0","0"
"/Game/Assets/books/source/Book4.Book4","0","0","14","1","0.000000","0","0"
"/Game/Assets/books/source/Book1.Book1","0","0","14","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","35","1","0.000000","0","0"
"/Game/Assets/Bookshelf/source/Material_005.Material_005","0","0","14","1","0.000000","0","0"
"/Game/Assets/Bookshelf/source/Material_001.Material_001","0","0","14","1","0.000000","0","0"
"/Game/Assets/Bookshelf/source/Material_004.Material_004","0","0","14","1","0.000000","0","0"
"/Game/Assets/Bookshelf/source/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Assets/coffin/source/coffin1.coffin1","0","0","14","1","0.000000","0","0"
"/Game/Assets/Plant/source/PlantInVase1.PlantInVase1","0","0","14","1","0.000000","0","0"
"/Game/Assets/Candle/source/Candle01.Candle01","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Game/StylizedMaterials/PostProcessMaterials/Materials/M_Graphics_02_wRotator.M_Graphics_02_wRotator","0","4","4","1","5.508747","0","5"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","60","3","0.000000","0","0"
"/Game/Cursor/M_Cursor.M_Cursor","0","0","58","1","0.000000","0","0"
"/Game/Assets/Sofa/source/Leather_sofa/Material_004.Material_004","0","0","23","1","0.000000","0","0"
"/Game/dresser/textures/lowresrust_Mat.lowresrust_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/Blood_2_Mat2.Blood_2_Mat2","0","0","32","1","0.000000","0","0"
"/Game/Assets/books2/textures/cover1_Mat.cover1_Mat","0","0","44","1","0.000000","0","0"
"/Game/Assets/Telescope/telescope_telescope_AlbedoTransparency_Mat.telescope_telescope_AlbedoTransparency_Mat","0","0","23","1","0.000000","0","0"
"/Game/Sprites/Blood_2_Mat1.Blood_2_Mat1","0","0","32","1","0.000000","0","0"
"/Game/Assets/books2/textures/necr2_Mat.necr2_Mat","0","0","44","1","0.000000","0","0"
"/Game/Assets/books2/textures/necr1_Mat.necr1_Mat","0","0","44","1","0.000000","0","0"
"/Game/Sprites/pent_Mat.pent_Mat","0","0","23","1","0.000000","0","0"
"/Game/MyMaterials/M_Outlines.M_Outlines","0","0","4","1","0.000000","0","0"
"/Game/Assets/Chandelier/source/Material_001.Material_001","0","0","14","1","0.000000","0","0"
"/Game/Assets/Chandelier/source/Material_002.Material_002","0","0","14","1","0.000000","0","0"
"/Game/Sprites/Circle_Mat.Circle_Mat","0","0","18","1","0.000000","0","0"
